Welcome to Yade 2020.01a 
Using python version: 3.8.10 (default, Mar 13 2023, 10:26:41) 
[GCC 9.4.0]
Warning: no X rendering available (see https://bbs.archlinux.org/viewtopic.php?id=13189)
XMLRPC info provider on http://localhost:21004
nbSpheres= 9976.0  | Rmean= 0.031127148105453077  | Rmax/Rmin= 1.9973438683632665
K= 12.75541299117883
ISOTROPIC CONFINEMENT!
unbalanced force: 2.186756311997427  mean stress:  202.97973917624105
unbalanced force: 1.5283034746334592  mean stress:  6.697987759342953
unbalanced force: 1.9171740959009982  mean stress:  6.689887087869724
unbalanced force: 2.1822411705898213  mean stress:  202.9624823230786
unbalanced force: 1.540979485683323  mean stress:  6.698528323785872
unbalanced force: 1.910125791069715  mean stress:  6.690486762570001
unbalanced force: 2.1828412110159765  mean stress:  202.95797698840906
unbalanced force: 1.519484272589477  mean stress:  6.702057064168741
unbalanced force: 1.912333845578811  mean stress:  6.682467518560234
unbalanced force: 2.1877113429434294  mean stress:  203.06790510615156
unbalanced force: 1.525023134742251  mean stress:  6.68547202793894
unbalanced force: 1.9146595853091062  mean stress:  6.689769096711674
unbalanced force: 2.1816011514707774  mean stress:  203.02192328258516
unbalanced force: 1.5228478202045606  mean stress:  6.713796900957763
unbalanced force: 1.90199356272838  mean stress:  6.700053449313473
unbalanced force: 2.181424199384088  mean stress:  203.1795940801192
unbalanced force: 1.531841897239395  mean stress:  6.70126344324868
unbalanced force: 1.9196242497370735  mean stress:  6.690748216598486
unbalanced force: 2.189255063038993  mean stress:  202.9753426676708
unbalanced force: 1.5336373642564338  mean stress:  6.696818316207171
unbalanced force: 1.904334722158359  mean stress:  6.697025558065856
unbalanced force: 2.1763217823540897  mean stress:  202.71016039222715
unbalanced force: 1.5279135464632085  mean stress:  6.702666079857596
unbalanced force: 1.9070801054626043  mean stress:  6.677255185294257
unbalanced force: 2.1962529875618277  mean stress:  202.81972477756526
unbalanced force: 1.5332057061166753  mean stress:  6.692672643294071
unbalanced force: 1.911670941001362  mean stress:  6.705007332543379
unbalanced force: 2.1850155656763315  mean stress:  202.87429392939126
unbalanced force: 1.5335780821217377  mean stress:  6.700133966844375
unbalanced force: 1.9209138901259055  mean stress:  6.695646597925035
unbalanced force: 2.188588949820093  mean stress:  203.06403102292606
unbalanced force: 1.5409998833644944  mean stress:  6.689234711027916
unbalanced force: 1.8997541115474947  mean stress:  6.686514933648437
unbalanced force: 2.190571322431011  mean stress:  203.06054867205145
unbalanced force: 1.525799994139758  mean stress:  6.715275782484007
unbalanced force: 1.9038785169665675  mean stress:  6.699471864265555
unbalanced force: 2.1888490829729284  mean stress:  203.05604043675257
unbalanced force: 1.5319017472590286  mean stress:  6.714542363194916
unbalanced force: 1.9096281563716797  mean stress:  6.687210893663785
unbalanced force: 2.1855702968680437  mean stress:  203.0698593057622
unbalanced force: 1.5414833946942987  mean stress:  6.700082166138775
unbalanced force: 1.902020371676401  mean stress:  6.696730734079769
unbalanced force: 2.194665380488254  mean stress:  202.8565365916833
unbalanced force: 1.5353771583176479  mean stress:  6.702037697091856
